input_id	dealiased_id	standard_id	short_id
doi:10.48550/arXiv.2210.03629	doi:10.48550/arXiv.2210.03629	doi:10.48550/arxiv.2210.03629	1FB10vQNQ
doi:10.1038/s41586-023-06792-0	doi:10.1038/s41586-023-06792-0	doi:10.1038/s41586-023-06792-0	viLUfCLq
doi:10.1038/s41591-023-02448-8	doi:10.1038/s41591-023-02448-8	doi:10.1038/s41591-023-02448-8	1BrM350HQ
isbn:9780470876411	isbn:9780470876411	isbn:9780470876411	WvC62IZf
doi:10.3233/DS-210053	doi:10.3233/DS-210053	doi:10.3233/ds-210053	oCW2bFIv
doi:10.1145/2857274.2857276	doi:10.1145/2857274.2857276	doi:10.1145/2857274.2857276	vC6te3yd
doi:10.1016/j.xgen.2021.100028	doi:10.1016/j.xgen.2021.100028	doi:10.1016/j.xgen.2021.100028	UoHUywsk
doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	6DjakjNS
doi:10.1145/3287560.3287596	doi:10.1145/3287560.3287596	doi:10.1145/3287560.3287596	TqPn1DCX
doi:10.1145/3458723	doi:10.1145/3458723	doi:10.1145/3458723	oquSBF8X
doi:10.6028/NIST.AI.100-1	doi:10.6028/NIST.AI.100-1	doi:10.6028/nist.ai.100-1	14ru3OqJh
doi:10.1038/s41587-025-02900-9	doi:10.1038/s41587-025-02900-9	doi:10.1038/s41587-025-02900-9	19fung9lh
doi:10.1038/s41587-023-01848-y	doi:10.1038/s41587-023-01848-y	doi:10.1038/s41587-023-01848-y	tr1XjZ1R
